Code,Name,East,North
2308,2308,9740440.75078000000,4530483.58136000000
2311,2311,9720391.35279000000,4601713.71290000000
2312,2312,9809020.28097000000,4613149.73228000000
2314,2314,9753197.27634000000,4541000.85476000000
2315,2315,9782792.05240000000,4545754.77011000000
2316,2316,9772513.51810000000,4542490.78953000000
2317,2317,9777443.31337000000,4546835.89142000000
2318,2318,9756888.36268000000,4545352.87446000000
2319,2319,9768924.46421000000,4545664.96229000000
2323,2323,9725420.93356000000,4536091.90076000000
2324,2324,9761355.90211000000,4555911.78226000000
2325,2325,9689534.33163000000,4524677.97855000000
2326,2326,9717326.91956000000,4543333.26385000000
2327,2327,9719795.25662000000,4538267.24515000000
2328,2328,9631398.50703000000,4573291.09163000000
2329,2329,9603455.71604000000,4626534.32246000000
2330,2330,9675982.70374000000,4562195.33993000000
2333,2333,9659009.16799000000,4603535.45254000000
2334,2334,9712109.42402000000,4555648.75283000000
2335,2335,9711445.03610000000,4563001.98578000000
2336,2336,9684504.04609000000,4616903.12784000000
2337,2337,9675480.16664000000,4635682.93026000000
2338,2338,9693619.04481000000,4659969.01580000000
2339,2339,9635192.07460000000,4662395.33675000000
2341,2341,9648080.99164000000,4702290.63935000000
2342,2342,9639105.77814000000,4729538.90505000000
2343,2343,9627331.78764000000,4687404.83663000000
2344,2344,9657544.05796000000,4727153.63628000000
2345,2345,9664509.67375000000,4757362.73230000000
2346,2346,9643199.56454000000,4787093.62152000000
2347,2347,9642119.98783000000,4818315.51455000000
2350,2350,9776946.15351000000,4805334.26334000000
2351,2351,9745428.77629000000,4796889.91838000000
2352,2352,9700568.85205000000,4729013.56087000000
2353,2353,9686716.07722000000,4748198.80559000000
2354,2354,9751434.03109000000,4723805.75611000000
2355,2355,9687771.17463000000,4769846.57767000000
2357,2357,9538478.41489000000,4718513.66783000000
2358,2358,9718872.88092000000,4791413.39177000000
2359,2359,9696027.31994000000,4835559.35272000000
2360,2360,9694200.96912000000,4886388.29088000000
2361,2361,9711816.57684000000,4933152.20657000000
2365,2365,9762821.88002000000,4842236.86240000000
2369,2369,9715035.81614000000,4848684.01329000000
2370,2370,9775456.96278000000,4895281.12731000000
2372,2372,9781599.89802000000,4957116.91079000000
2380,2380,9602898.95602000000,4758531.49952000000
2381,2381,9597052.18413000000,4709285.04164000000
2382,2382,9594964.86144000000,4780751.00774000000
2386,2386,9472930.54650000000,4855016.78231000000
2388,2388,9523274.60054000000,4815835.59335000000
2390,2390,9580946.77392000000,4817228.86754000000
2395,2395,9523473.09138000000,4675723.41651000000
2396,2396,9495225.59965000000,4752633.96313000000
2397,2397,9565903.73017000000,4857967.54197000000
2399,2399,9591065.88887000000,4880633.51097000000
2400,2400,9550109.28903000000,4924141.40492000000
2401,2401,9622915.40740000000,4899079.50426000000
2402,2402,9647464.96683000000,4925221.91011000000
2403,2403,9669298.46185000000,4892425.68113000000
2404,2404,9642940.39997000000,4862289.48057000000
2405,2405,9555923.23693000000,4978681.24288000000
2406,2406,9508217.49642000000,4966460.05277000000
2408,2408,9633484.91189000000,4973431.68743000000
2409,2409,9609068.22403000000,4995745.20822000000
2410,2410,9677956.67871000000,4974415.65052000000
2415,2415,9754315.72035000000,4602256.52894000000
2420,2420,9741371.61793000000,4591790.46490000000
